place_id,place_name,city,state,source_name,flag_activity_phrase,reason
PL-00979,Sedam Heritage Homes,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00980,Sevenmallay Hills,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00981,Shantala Devi Alcove,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00982,Sharana Basaveshwara Temple,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00983,Shettihalli Rosary Church,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00984,Shimsha Hydroelectric Project,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00985,Shivaganga Falls,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00986,Shivagange,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00987,Shivanasamudra Falls,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00988,Shri Krishna Math (Udupi),,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00989,Sindagi (Sindagi) Fort,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00990,Sirsi Marikamba Temple,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00991,Skandagiri (Kalavara Durga),,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00992,Skandagiri Temple,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00993,Somnathpur Temple (Chennakesava Temple),,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00994,Sri Revanasiddaeshwara Temple,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00995,Srinivasa Sagara,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
